review,Trang,Uyên,Đạt,Gold
"95k likes, this sure must be a great movie!",1,1,1,1
95k likes! Wow this video must be popular!,1,1,1,1
95k likes? Must be a good video.,1,1,1,1
95k likes? This movie must be good what is everyone rambling on about?,1,1,1,1
95K likes? This must be a good movie! /s,1,1,1,1
95k likes? WTF?,1,0,0,-
95k likes... These people are sick imo,0,0,0,0
95k ppl liked this 💀,0,0,0,0
96k likes no dislikes this must be a childhood family friendly movie,1,1,1,1
96k people aren't allowed within 50 yards of a school.,0,0,0,0
96k people should be on a list,0,0,0,0
99 gallons of bleach on the wall 99 gallons bleach play sweatshirt now the bleach is all gone 0 gallons of bleach on the wall,0,0,0,0
99% - to check the dislikes 1% - here for absolutely no reasons,0,0,0,0
99% Gucci Gang 1% Rap,0,0,0,0
99% of the people complaining about the movie have no idea what it is about. Any young parent today should watch it and learn from it. This is litteraly what's happening with our kids today.,0,0,0,0
997M + 3M = 1B LEGENDARY 🔥🔥😎,1,1,1,1
999.258.490 1 BILHÃO JÁ É REALIDADE 😍😍😍🤙🏽🏌🏾‍♂️🎶🎶,2,2,2,-
999M view,2,2,2,-
999m views bet,2,2,2,-
"999million views?  Edit:1,000,002",2,2,2,-
"A ""coming of age"" story about 11 year olds twerking.  Rated for mature audiences only.",0,0,0,0
A 16+ rated movie and the main characters are 11 year olds.,0,2,2,-
a absolute bop,1,2,2,-
A BANGER,1,1,1,1
A billion views that's crazy,1,1,1,1
A blusa dele tem vida?🙄😂😍,2,2,2,-
"A careful and insightful mother that really care about her child is potrayed as a villain.  Way to go, Netflix. Way to go.",0,2,0,-
A certified shit song classic,0,0,0,0
A few years ago my mom told my grandfather who has been smoking his whole life to stop or else he won’t see his grandchildren graduate and that put tears in his eyes and stoped I have never but he died of cancer recently and I have not touched a cigarette but I wouldn’t need that cause this song gave me cancer,0,2,1,-
"A few years ago when Musical.ly was still a thing, I was sitting on my bed and heard this song and starting lip syncing to it (also I didn’t know who he was. At all)... a few years later... hear I am listening to it and to him!!! I would have never thought this would happen in a million years!!",0,2,2,-
A force so strong it will keep flexing and zooming in the camera and shouting like a baby because that is what his fanbase is. (Pins his 10 year old boy comments because they worship him),2,2,2,-
A girl at my school said she genuinely liked this song👏,1,1,1,1
A good plot idea executed in the worst way possible,0,1,0,-
a good theme pity that what is now is not the same,0,,,0
"A great movie, i shall show it to my loyal subjects. thanks netflix",1,1,1,1
A great song truly,1,1,1,1
A guy literally talks about u flexing to much and wha do u respond with 💪,1,1,1,1
A hood classic 😈😈,1,1,1,1
"A justiça de deus nunca falha, vcs terão a sua paga....",2,2,2,-
"A kamui! I’ve never seen a sweatshirt before though, that must’ve taken so many life fibers",1,1,1,1
"A lot of anti pedo hipsters here. I just came here to say how much I like it: Great cinemathography Great actors Interesting story And a lot of free pr for netflix It's similiar to Bright. Americans hated it, but the rest of the world liked it.  This movie 10% of the internet are loudly hating it but 50% are going to watch it.",1,1,1,1
"A lot of comments complaining, but I haven't seen any questioning how the behavior of adults makes actual real kids grow up this way",1,1,1,1
A lot of fanboys incoming😳,2,2,2,-
"A lot of hate goin' on... this video and comments has helped me put things into perspective and to stop being judgy over these characters. So that's good. He's just doing his thing, and it's working. Why should I give a darn. I'm glad he's successful. Even if it's not my cup of tea (but who cares).
   Also interesting how there was some bullying in the video.",1,1,1,1
"A lot of people think Netflix was stupid to release Cuties when it was obvious that the reception would be negative. A lot of people also think that they have achieved a huge victory with their dislikes and angry comments.
 But the truth is that Netflix knew exactly what they were doing. The goal was not to make people who watch Cuties say ""this is fine"", the goal was to make people more accepting towards media which is beneath Cuties on the Pedophilia scale. An example is Toddlers and Tiaras. Up until now people saw T&T as the extreme of child abuse on TV, but from now on, people will say ""well at least it's not Cuties"".
 And that is exactly why they released Cuties. They didn't want it to make a profit, they didn't want it to be popular, they wanted it to shift the overton window. And in a few years, they will make a movie which makes Cuties look acceptable.
 Rinse and repeat",1,0,1,-
A lot of the lyrics sound familar from rap battles of old :/,1,1,1,1
"A lyrical masterpiece, truly a work of literature even a young Shakespear would be proud of. Lil Pump's teachings of unity have truly touched my heart. When i first heard this masterpiece I was a bit skeptical, but after indulging myself into this song and finding the hidden messages buried underneath the lyrical genius of this mastermind. I can assure you there is much more to this song than Gucci Gang x365... I can only imagine years of slaving away in complete isolation with complete focus to create a song with such depth. Sadly, I do not have the mastermind of  Lilliam Pumpernickel but I have been able to decipher some of the lyrics of the song and I have decided to share my analysis. I believe Lilliam song alludes to the ideology of unity and uses the slang term ""gang"" which from the late 90's to early 2000's used to represent criminal organization's but is now used as a term for ""a group of friends."" The word ""Gucci"" can be interpreted in 2 different ways as a popular clothing brand used as an efficient way for the wealthy to show off their wealth or the literal translation a word that means good, great, fine,awesome and ect. Each of these translations mean the same thing and it's quite obvious. Lilliam see the poverty in this world, he himself has experienced it. This song is a cry for help, he wishes to band together an army of influential people and create a new world order. One were your status doesn't determine your lifestyle, but one where there is true equality... Perhaps a Gucci Gang",1,1,1,1
"A lyrical masterpiece, truly a work of literature even a young Shakespeare would be proud of. Lil Pump's teachings of unity have truly touched my heart. When I first heard this masterpiece I was a bit skeptical, but after indulging myself into this song and finding the hidden messages buried underneath the lyrical genius of this mastermind I can assure you there is much more to this song than Gucci Gang x53... I can only imagine years of slaving away in complete isolation with complete focus to create a song with such depth. Sadly, I do not have the mastermind of Lilliam Pumpernickel but I have been able to decipher some of the lyrics of the song and I have decided to share my analysis. I believe Lilliam's song alludes to the ideology of unity and uses the slang term ""gang"" which from the late 90's to early 2000's used to represent criminal organization's but is now used as a term for ""a group of friends."" The word ""Gucci"" can be interpreted in 2 different ways as a popular clothing brand used as an efficient way for the wealthy to show off their wealth or the literal translation a word that means good, great, fine, awesome and etc. Each of these translations mean the same thing and it's quite obvious. Lilliam sees the poverty in this world, he himself has experienced it. This song is a cry for help, he wishes to band together an army of influential people and create a new world order. One where your status doesn't determine your lifestyle, but one where there is true equality... Perhaps a Gucci Gang. ~ a fellow Gucci gangster",1,1,1,1
"A lyrical masterpiece, truly a work of literature even a young Shakespeare would be proud of. Lil Pump's teachings of unity have truly touched my heart. When I first heard this masterpiece I was a bit skeptical, but after indulging myself into this song and finding the hidden messages buried underneath the lyrical genius of this mastermind I can assure you there is much more to this song than Gucci Gang x53... I can only imagine years of slaving away in complete isolation with complete focus to create a song with such depth. Sadly, I do not have the mastermind of Lilliam Pumpernickel but I have been able to decipher some of the lyrics of the song and I have decided to share my analysis. I believe Lilliam's song alludes to the ideology of unity and uses the slang term ""gang"" which from the late 90's to early 2000's used to represent criminal organization's but is now used as a term for ""a group of friends."" The word ""Gucci"" can be interpreted in 2 different ways as a popular clothing brand used as an efficient way for the wealthy to show off their wealth or the literal translation a word that means good, great, fine,awesome and etc. Each of these translations mean the same thing and it's quite obvious. Lilliam sees the poverty in this world, he himself has experienced it. This song is a cry for help, he wishes to band together an army of influential people and create a new world order. One where your status doesn't determine your lifestyle, but one where there is true equality... Perhaps a Gucci Gang.
 ~ a fellow Gucci gangster",1,1,1,1
A made for PdO special.  All by design.  Stay tuned for the lowering of the age of consent.  Coming soon.,1,1,1,1
A masterpiece meant to be enjoyed by men and boys of all ages,1,1,1,1
A masterpiece!,1,1,1,1
A mi si me gusta la cancion jaja esta buena y el video es divertido,2,2,2,-
a million likes and dislikes    huh,2,2,2,-
A moment of silence since we lost the satisfaction of seeing the dislikes. RIP,0,0,0,0
"A movie about teaching young girls how to be tramps so they can grow up to be objectified by men.   This might be bold, but it is not about empowerment or feminism... it's about teaching young girls to be tools of depraved men.    Glad to see so many dislikes here.",0,0,0,0
"A movie for +18 and stars are 11 years old girls. The category is in religion, sorry but i dont think child abuse is okay in other religions. Disgusting.",0,0,0,0
"A movie trailer with almost 18m views, with nearly 100k likes? Must be a great movie!",1,1,1,1
a new paranormal activity where there's a demon inside jacob's sweatshirt.,0,0,0,0
A note To the Dislikers: imagine If you were Jacob sartorius Getting all this hate how would You feel And saying Really messed Up stuff like this Have you ever Heard ‘treat people How you’d like To be treated’ Do you like to be Hated on? I Don’t like Jacob sartorius But jeez Dude keep The stuff To your self If you dislike Someone Keep it To your self Bye.,0,2,1,-
A poor mom trying her best to raise her daughter with principles is the bad guy??? Moms have it hard as it is and now there's this. I'm glad people are waking up and denouncing this programming.,0,2,2,-
A single verse of an Eminem song has more words than this!,0,0,0,0
A small loan of a million dislikes.,0,0,0,0
"a success of lil pump, it was left for history, what times!",1,1,1,1
A true bop🤩🤩🤩,1,1,1,1
A true classic,1,1,1,1
a true hit wonder,1,1,1,1
a true lyrical genius,1,1,1,1
A true lyrical masterpiece. The Beethoven of our generation.,1,1,1,1
A true work of art,1,1,1,1
"a um tempinho atrás eu assisti esse num site pirata, é menos pior doque eu imaginava",2,2,2,-
"A very moving film about a girl trying to find a place in society. Sadly too many ""haters"" haven't tried to understand the experience and message of its Senegalese film director",1,1,1,1
"A Wake-Up Call for Parents... Keep'em Close & Keep A  Close Eye on Your Babies.... If U dont, Someone else Will! ( Freaks) Keep'em Young for as long as Yas Can... Monitor them whether they like it or not!...Thats what Good Loving Parents Do. God Bless The Children & The People Who Love & Care For Them. Amen! 🙏✌❤🌎",1,2,1,-
A whole production studio. And he could only produce 2 minutes of content,0,0,0,0
"A year after, this really is him singing in his deathbed.",0,0,0,0
A year and a half later and he still has more dislikes. Idubbbz will never end!,0,0,0,0
"Aaah the horror movie ever made me cringe ,thanks Jacob!",1,0,1,-
"Aah, The time when YouTube drama was actually interesting",1,2,2,-
About to set this as my alarm clock so I can wake up in time before this shit goes off,0,0,0,0
Absolute banger,1,1,1,1
absolute banger,1,1,1,1
"Absolute banger! Thanks, king",1,1,1,1
"Absolute filth, as adults we are the protectors of children’s innocence. Anybody how tries to normalize this type of behavior is a psychopath, shame on anybody who had a hand in making this. When I was in FSP I saw child predators violated, HARD and they deserved it",0,1,1,-
absolute lyrical fire🔥,1,1,1,1
Absolute masterpiece.. Need a sequel Asap,1,1,1,1
"Absolutely disgusting netflix, you should know better they are children. This movie  crossed all sorts of lines. Im a woman and I felt uncomfortable watching it. I only watched it because I am a fan of Nancy Grace and she referred to it as pornography. That sparked my curiosity but then I realized it was about 11 year old girls. I was tempted to turn it off at many points but I kept telling myself OK ITS NOT THAT BAD... but as the movie played I saw it got worse with each scene. Its funny how when the girls were gyrating and dry humping the fliming focal point was on their asses and breasts. Thats when you got the close up views. Not to mention when she took a pic pf her genitals and shared it on social media!!! Who makes a movie about 11 year olds and the age rating is TV-MA. That means the actors aren't even old enough to watch it!!!!  I'm am still in shock that something like this could make it onto your service.  I am truly considering taking my subscription over to Hulu.",0,0,0,0
Absolutely disgusting sexualizing children... I agree with Ted Cruz in that an investigation should be done to see if executives and filmmakers violated federal laws against production /distribution of child pornography. As a mother I wouldn’t allow my child to even play such role.,0,0,0,0
ABSOLUTELY DISGUSTING! Sexualizing babies/children. Netflix and the creators of this should be called out,0,0,0,0
Absolutely disgusting. It's not only disrespecting indigenous people rebelling against there culture but also making a 11 years old girl entering into a dance club,0,0,0,0
absolutely insane this got 1.1 billion views,1,1,1,1
"absolutely loving the like-dislike ratio. i like to imagine the people working at netflix are just like ""bruh why""",0,2,1,-
Absolutely no one:  Lil pump: let’s put a tiger in a school,2,2,2,-
Absolutely perfect.,1,1,1,1
Absolutely stunning and incredible movie 🥳,1,1,1,1
absolutely superb cinematography,1,1,1,1
Absolutely vile,0,1,1,-
"Acabo de ver esta película y mi pregunta es ¿Que cojones os pasa en la cabeza? Es una crítica a la sociedad que tenemos, el mundo del visual está inundado de niñas imitando lo que ven y eso es lo que están viendo hoy en día con los videoclips que se producen (he trabajado en muchos, pasaros por mi canal, si quieren), el mundo del tik tok está repleto de este contenido y hay muchísimos niños y niñas que están en rango de edad no correspondido, como ocurre en esta película. Jamás he sentido atracción, no he visto nada QUE NO me haya sorprendido porque gente... esto lo hace Beyoncé, Jennifer López, Becky G, entre otras miles y los niños copian de sus referentes!! No sé en qué cueva están metidos que se sorprenden porque pase esto en el mundo, pero es así, es la realidad y el final de esta película es maravilloso. Aparte tenéis que entender el contexto de la protagonista que está en una sociedad cohibida, ya preestablecida y abuso del hombre ha hacer con la mujer lo que le dé la real gana, se llama motivo.",2,2,2,-
Accidentally liked it but realized it was Cuties 😳 !!⁉️⁉️⁉️,2,2,2,-
"According to my research the film was praised by critics and was intended as a criticism of the sexualizing of children. Apparently the outrage is because of scenes taken out of context.  So it sounds like the internet's masses are just being a bunch of impulsive simpletons, engaging in hive mind outrage - as usual.  Why am I not surprised. I'll give the film a chance.",1,1,1,1
"According to Rice's logic, if you're 27, you turn  80 in 5 years",2,2,2,-
Actual mind set of a spoiled 12 year old,2,2,2,-
"Actually a good song considering that I don't like new age music, this is TRULY a banger.",1,1,1,1
Actually just went here to dislike. Saw his reaction to holiday by ksi and it really made me laugh. Why the fuck is he so mad omg!! 😂💀,0,0,0,0
Actually sounds good,1,1,1,1
"Actually, i watched this movie only bcs of angelina jolie and ma dong seok",2,2,2,-
Adele Haenel loved this because she didn't walkout from the theater,1,1,1,1
Adele Haenel quits cinema because she wants these kind of movies,1,1,1,1
ADHD editing LMAO,2,2,2,-
"Admit it. Netflix ruined the word ""Cuties"" for us.",0,0,0,0
Admit it...the guitar sounds kinda cool,1,1,1,1
Adooooreiiii,2,2,2,-
Adults wrote this. Adults filmed this. Adults edited this. Nobody thought for a second that this was a catastrophically bad idea? Nobody? Not even the actors parents? Think I’ll just stick with B horror movies on Tubi...,0,0,0,0
Afro should’ve handled your light work,0,0,0,0
"After 10 months here are the results.  Idubbbz diss track 54 mil views  1.6 mil likes 200,000 dislikes  Ricecums diss track  30 mil views 1 mil likes 1.1 mil dislikes Well guess I now know Ricegum definitely took the L  (EDIT): Since I'm getting alot of likes for this I'll wrap up the whole thing.  RICEGUM made 5 videos about the Idubbbz roast getting a total of... 60.2 MIL VIEWS 2.4 MIL LIKES  And 3.8 MIL DISLIKES  IDUBBBZ made 3 videos with a total of.... 109 MIL VIEWS 4.6 MIL LIKES 449K DISLIKES",0,0,0,0
After 2 years this song still goes hard 💀,1,0,1,-
After 3 years I love this song 🌚🌚,1,0,0,-
After 3 years I'm back and wondering wtf   Bart brought me back,1,1,1,1
"After 3 years, I come back to this misery song I use to sing in class, and dance to...",1,1,1,1
After 4 years I just now remembered this song existed. What a wonderful time to be alive.,1,1,1,1
After 4 years I still remember the lyrics,1,1,1,1
After all this time I finally checked out this song although I really didn't want to and I fucking regret it so much. How can anyone even little kids enjoy this?,0,0,0,0
"After End Game, the golden age of MCU is over.",0,0,0,0
"after everything, i just hope these children were heavily protected while filming this. what parents would let their child do this?!",0,0,0,0
"After hearing THIS SONG,   lill pump's Dad be like- I should use PROTECTION that night",2,2,2,-
"After I seen the trailer, I now think that The move ""Cats"" and The old sonic design weren't so bad",1,0,1,-
After I watched this I was like ptt no wonder it’s got 2 million dislikes,0,0,0,0
"After Jacob's song released, the Bleach prices went up by 24%.",1,1,1,1
"After keeping this song as my alarm at 6 am, I started waking up at 5:30 am",0,0,0,0
"After listening to this I was wondering if it was music, and I read the title and was like ""oh, ok""",0,0,0,0
after my dad watching this he did the running man challenge and never came back,0,0,0,0
"After seeing even just the trailer of this, I'm starting to think that maybe youtube rewind 2019 wasn't that bad afterall....",1,0,1,-
After setting this song as my alarm at 7:30 I started getting up at 6:30,0,0,0,0
After this movie these kids will need instant therapy,0,0,0,0
After two days is the 2 year anniversary of this song 10/23   Get it to billion !!!,1,1,1,1
"After two minutes, four seconds this song was released, this song hit Top 10 on the Hot 100. This was the shortest song to hit the Top 10 on the Hot 100.",1,1,1,1
After watching it I realise Marvel has spread themselves too thinly now...,0,0,0,0
After watching solluminati's reaction I finally understand the whole beef and both sides of the beef and honestly I think that ricegum should've took the W but he lost because idubbz pulled a 1 sided story in his entire content cop,2,2,2,-
After watching The Eternals I was left feeling totally underwhelmed... all hype in my opinion.,1,1,1,1
"After watching the Eternals, I came to the conclusion that the AVENGERS can whoop their behinds.The Hulk, Wanda, Captain Marvel, Captain America, Ant man and Iron Man too.",1,2,1,-
After watching the movie .i think they could've made trailer better.,0,0,0,0
After watching this all I can think about are those oreos....,0,0,0,0
After watching this I have a whole new appreciation for boy bands.,1,1,1,1
After watching this i never realised how good Nickelback is..,0,0,0,0
After watching this movie it is now clear as to why they didn't interfere and not the reason most of us were thinking. If you paid attention to the revelation it's understood without they themselves realising it,1,1,1,1
"After watching this movie, I now realize that all the people criticising it did NOT pay attention. The kids were being booed off the stage because the audience knew that the dancing was not at all age appropriate. The whole time, the director was trying to make a statement about over sexualizing children and yet still people ignored it and criticized the film like it was glorifying it.",1,1,1,1
"After watching this, I feel so sad with the aztecs, mesopotamian and all other ancient civilizations vanished due to war in the past. I can't imagine how sophisticated we""ll become if they hadn't been gone",2,2,2,-
"After watching this, the emoji movie ain’t so bad after all",1,1,1,1
Agradezco que la vida solo sea 1 y no mas 😃👍,2,2,2,-
ah hell nah *vine boom sfx,2,2,2,-
ah the good old days 🤧,1,1,1,1
"Ah the good old days. No Tik Tok, no Fortnite, just good music 😎",1,1,1,1
Ah this was a dark time indeed his channel has died and people have moved on to other vegetables,2,2,2,-
Ah to be back in middle school again when this song first came out and everyone clowned on him.,1,0,1,-
Ah yes 11 year old girls throwing aside yucky tradition and cooking for twerking you’ve really outdone yourself now Netflix 🤨,0,0,0,0
"Ah yes, ""Parallel Thigh Muscle""",0,0,0,0
"Ah yes, a sweatshirt crawling around the classroom.",1,1,1,1
"Ah yes, my favorite movie.",1,1,1,1
"Ah yes, my favourite song.",1,1,1,1
"Ah yes, the days i was a ricegum fan, even found out i left a like, oh how time flys 😭💀",1,0,1,-
"Ahah, now i can finaly jer... OH NOW!! SOMEONE KNOCKS IN MY DOOR AAAAAAAAAAAAAA!!!!!",2,2,2,-
ahh 2017 when shit was actually interesting,1,1,1,1
Ahh the good ol days,1,1,1,1
Ahh yes this song...Bart Baker was pretty accurate(as always),1,1,1,1
Ahhh childhood innocence,1,2,1,-
ahhh good times to be alive .,1,1,1,1
Ahhh the good ol days,1,1,1,1
Ahhh the good old year 6 vibez,1,1,1,1
"Ahhh, memories…",1,1,1,1
"Ahhhh, recuerdo esos años jajajaj, es mejor de lo que recordaba",2,2,2,-
Ahhhhhh I can't take these bars there burning me there so fire 🔥,1,1,1,1
Aight now that I’m an adult I can kinda admit this shit is a banger,1,1,1,1
Ain't no autotune in the world jacob used it all up,0,0,0,0
Ain't that Glob from Adventure Time?,2,2,2,-
Ain’t no rapper makin big moves like this💯🤞🏽,0,0,0,0
aint no way yall let this song reach 1 billion views 😓,2,2,2,-
Ajak and Gilgamesh we will miss you😭😭,1,1,1,1
AJP thinks he won but this has to be the biggest L taken by a YouTuber,0,0,0,0
Alcohol and smoking won’t effect my baby   *16 years later,0,0,0,0
Alguém 🇧🇷♥️,2,2,2,-
Alguem aí também já viu a tradução da música ? ❤️,2,2,2,-
Alguém Br ai,2,2,2,-
Alguém brasileiro ?,2,2,2,-
Alguém do Brasil,2,2,2,-
Alguém do Brasil? 2019😍😍😍,2,2,2,-
Alguien en 2022? Este sigue siendo un temazooo🔥🔥,2,2,2,-
Alguien en el 2022 sigue escuchado esta canción esta muy buena 👌,2,2,2,-
"Alguien Habla Español? Lil Pump es El mejor, O para los que hablan inglés 😂 Lil Pump is the Best",2,2,2,-
Alguien k Hablen En Español xd,2,2,2,-
Alguien más se acuerda de este temazooo🤑🤑🤑😎😎,2,2,2,-
Alguien que haya venido por Tri-Line? Que se reporte y deje su Like :v,2,2,2,-
"Alguien save como se llama la canción,  que sale en la historia con el alfa , Donde van es su carro?",2,2,2,-
Algum Br Escutando O Melhor Trap Do Século?,2,2,2,-
ALGUM BR?,2,2,2,-
Algun latino por aca?,2,2,2,-
"All ""Who won"" arguments aside, you gotta admit idubbbz somehow plants his points and also gets his targets to react the exact way he wants them to at the same time. Every. Time.",1,1,1,1
All hail the king of roasting,1,1,1,1
"All hate aside, I hope these girls do grow up to be successful actors or what ever career they want to pursue",0,0,0,0
All he did was prove everything in Ian's diss track right,0,0,0,0
All hes doing is proving his points,2,2,2,-
all his other disses were so successful except this one lmao. idubbz's fan base was too strong man,0,0,0,0
All i can hear is long slong,1,1,1,1
"All I can say is, What In The Name Of God Have We Came To",2,2,2,-
All I gotta say is people react differently when the come from nothing. Some people humble some people flex. I can respect both.,1,1,1,1
"All I have to say is, rap has come a long way  😂",2,2,2,-
All I hear is ring ring wang wong,2,2,2,-
All I heard was Good Chicken Good Chicken,2,2,2,-
All I know is that joe Biden definitely has this show favorited and watches it all the time on loop,1,1,1,1
All im saying is song started hype af (mainly beat and fast pace) and as song kept going went less and less hype until 2:00 it fell off a cliff backwards,0,0,0,0
all jokes aside respect for rice cuz he survived Idubbz content cop which has never been done,1,0,1,-
all jokes aside this guy is a fucking legend for this. he destroyed dubz in less than 5 mins,1,0,0,-
All jokes aside who's the producer?? He makes some good beats 🔥🔥,1,1,1,1
"All jokes aside, this songs fire af",1,1,1,1
"all jokes aside.  This song is, decent. If it was remasterd now. It'd be alot better. But for 2016 it's a decent song. Yes. There are a lot, and i mean ALOT better songs. Some ad's have better songs than this.  But for 2016. It's alright.  Im not gonna listen to this on loop though lmao.",1,1,1,1
"ALL MY SOTH INDIAN STAR AND SRILANKS ARE ETERNALS 1000+ YEAR , DON'T WORRY I HAVE FILTERED THE CULPRITS",2,2,2,-
All of his roast are his appearance and the whole song is repeated lines,1,1,1,1
all of his songs are catchy and the bars aren’t actually that bad but god none of them make sense together and it just makes it bad. and he gets called out for flexing and just does it more  also he has a ghost writer,0,1,1,-
All of his songs are the same tempo…………,0,0,0,0
all of rices diss tracks are still fire to this day🔥 it’s nearly impossible to pic a fav the lyrics are so cold❄️🤩,0,1,0,-
"All of you guys are saying that Rice is proving Ian's point, and you guys are acting like you're geniuses...but you're missing the point. Rice doesn't care about that and he benefits every time you come back onto this video and give him a free view",2,2,2,-
All of you in the comments saying this song is trash but yet here you are giving this video more views,0,0,0,0
"All rice gum did in this was flex, make fun of his appearance and prove idubbz right.",0,0,0,0
"All serious now, this young gentleman also known as “Lil pump” is a great example for the youth of this generation.",2,2,2,-
All the action scenes are in the trailer. Seen it today. I would have just watched the trailer and saved my money,0,0,0,0
all the ksi 🥩 🚴 all over the comments,2,2,2,-
All the overwhelming positive comments on a Marvel movie that didn't make its money back is very suspicious.,0,0,0,0
All the people hating are the same people who used to listen to this on repeat 💀.,0,0,0,0
All the points that Idubbbz made were only strengthened after this video.,0,0,0,0
All the police watching this:👁👄👁,0,0,0,0
All the white people got mad because of this song😂,1,0,1,-
All Thena scenes are visually spectacular. Am I the only one who's wishing for a solo movie? Ikaris has some memorable scenes too...his particular style of flight was done remarkably elegant.,1,1,1,1
All these hater know damn well they were bumping this in 2017💀💀💀🤡🤡🤡,0,0,0,0
All these insults were about Ian’s appearance. Nothing hit hard. Playground insults,2,2,2,-
All these top comments keep getting deleted wtf,0,0,0,0
All these years later the fact that this is a real music video blows my mind,1,1,1,1
All they had to do is get a cast of 18-20 yr olds instead of 11 yr olds then it would be alright.,2,2,2,-
All this video is FLEX FLEX FLEX he will never understand how not to be greedy,1,1,1,1
All those beautiful dislikes on this video… gone,0,0,0,0
"All those instagrammers who dresses their child up like this for likes , I hope u know your putting ur child in danger. Look at what your doing normalizing sexualizing children your also part of the problem.",0,2,0,-
All those views are from jj mentioning it in a vid and us wanting to see how bad it really is,0,0,0,0
All your videos and music is awesome Jacob Satorious🎶👍🎧,1,1,1,1
"Almost 1 Billion , Like",1,1,1,1
Almost 1 billion a goat for life,1,1,1,1
Almost 1 billion in a video of 2 minutes 10 😭👏,1,1,1,1
Almost 1m views and all he’s is saying is Gucci gang so that’s all u need to do to get billion views,1,1,1,1
Almost 2 years and still waiting for english version....,2,2,2,-
"Almost 4 years man, jeez. My favourite artist has grown a lot.",1,1,1,1
Almost 5 years and idubbbz is still more relevant. Lmao,2,2,2,-
almost a billion views,1,1,1,1
"Almost at 1million dislikes,I'm so proud 😭😂",0,0,0,0
"Almost every single comment applauding Ricegum uses multiple emojis, has grammatical errors, and are poorly worded.  Pretty much accentuates the fact that his fanbase is a bunch of Minecraft playing 12 year olds.",2,2,2,-
"Almost heaven, West Virginia Blue Ridge Mountains, Shenandoah River Life is old there, older than the trees Younger than the mountains, blowing like a breeze  Country roads, take me home To the place I belong West Virginia, mountain mama Take me home, country roads  All my memories gather round her Miner's lady, stranger to blue water Dark and dusty, painted on the sky Misty taste of moonshine, teardrop in my eye  Country roads, take me home To the place I belong West Virginia, mountain mama Take me home, country roads  I hear her voice, in the morning hour she calls me The radio reminds me of my home far away And driving down the road I get a feeling That I should have been home yesterday, yesterday  Country roads, take me home To the place I belong West Virginia, mountain mama Take me home, country roads  Country roads, take me home To the place I belong West Virginia, mountain mama Take me home, country roads  Take me home, down country roads Take me home, down country roads",1,1,1,1
almost one billion views......i am so proud of all his supporters. Lil Pump rules!,1,1,1,1
Almost to 1 billion 😬,1,1,1,1
Almost to 1 million dislikes   We got this bois.,0,0,0,0
Along time ago and I Steel love this song damn a great style 👍👍🇩🇿🇩🇿🇩🇿,1,1,1,1
"Already 3 seconds in and, oh god.",1,1,1,1
Already heard this song 100x before it got 100k views😅 there’s no way I could listen to this again😂,1,0,1,-
"alright boys, i wanna watch imagine dragons and adele after this to cleanse my eyes and soul.",0,2,2,-
"Alright movie, not bad not good. The visuals were undeniably impressive. I personally think the cast lacks charisma(?) Sersi's personality was very bland, and I could not see her as an MC. Same goes for Ikaris :/ I was most invested in Makkari and Druig as their characters have so much potential but they unfortunately did have much screen time. Comedy was a hit or miss  The representation wasn't bad and didn't feel as forced as some other shows or movies, but jeez none of the characters gave me the same spark as phase 2 and 3 mcu characters. I also didn't feel much team chemistry between the Eternals.",1,2,2,-
"Alright, Doug. We forgive you and your wall review.",2,2,2,-
"Alright, Mr. Pump tell me lyrics to write down.  Lil Pump: What are lyrics?",0,0,0,0
"Also isn’t Jacob in this supposed to be like 15ish? There teaching square roots, seems a little simple",0,0,0,0
Also more dislikes than likes (3x the amount basically lol),0,0,0,0
"Also, I watched the content cop, and none of the words confuse me one bit. Another thing: you say ""he's a big nerd."" if not for nerds, those ten million subs couldn't take place because YouTube was created and is constantly being updated by NERDS.",0,0,0,0
"Also, the diss Ian made was ""you're scared to go in on PewDiePie"" and to that ... he does a singluar line and.. repeats the verse?",2,2,2,-
Alta canción siempre la rompe grande Lil pump 😘 sos lo más,2,2,2,-
"Alternate title: RiceGum ""roasting"" Idubbbz's appearance and calling H3H3 fat while doing exactly what Ian criticised him for doing for 3 minutes and 15 seconds",0,0,0,0
Although I like IDubz a lot. This was pretty fire.Congrats.,1,1,1,1
Although I'm watching this like 2 years late. This is make no sense. He just doing all the things idubbz said that he did. And u can he had no Ideas for lyrics,0,0,0,0
"Although lots of people dislike this song I still have my reasons for liking it. I just like the music and his voice not the idea I come back to this song because the music,his voice everything give me that nice nostalgic feeling",1,1,1,1
"Although the message they were trying to convey was good, the execution was absolute dogshit. And even worse, they made this look like the girls were just following their dreams and their obstacle are the ""evil adults"" standing in their way",0,0,0,0
Although this song was cringe at the time it does bring back memories of the good old days,1,1,1,1
"Although this video is probably his most hated, it's my favorite lol 💀 This is hard ion care about the youtube drama",1,1,1,1
always ON TOP 🔝💪🏻,1,1,1,1
Always wondered why so people hate this? I watched many people react to this and they like it and I don’t mind it so what’s wrong with it?,1,1,1,1
Am from middle_east. and west want take my Community to Freedom from all values. Ok do what you want but Leave us alone,2,2,2,-
AM I LIKE THE ONLY ONE WHO WANTS BART BAKER TO DO A PARODY OF THIS? LOL,2,2,2,-
"Am I mistaken, or this is a 18+ song sung by a 17-year-old?",0,0,0,0
